time;nb_octet;file;size;rtt
403.0;514120;data_0.tr;0;1
404.0;494360;data_0.tr;0;1
405.0;634920;data_0.tr;0;1
406.0;574200;data_0.tr;0;1
407.0;524160;data_0.tr;0;1
408.0;484280;data_0.tr;0;1
409.0;604840;data_0.tr;0;1
410.0;604680;data_0.tr;0;1
411.0;604120;data_0.tr;0;1
412.0;403960;data_0.tr;0;1
413.0;604520;data_0.tr;0;1
414.0;604720;data_0.tr;0;1
415.0;604560;data_0.tr;0;1
416.0;403840;data_0.tr;0;1
417.0;604560;data_0.tr;0;1
418.0;604760;data_0.tr;0;1
419.0;604520;data_0.tr;0;1
420.0;604800;data_0.tr;0;1
421.0;524240;data_0.tr;0;1
422.0;484120;data_0.tr;0;1
423.0;604720;data_0.tr;0;1
424.0;604440;data_0.tr;0;1
425.0;594600;data_0.tr;0;1
426.0;413880;data_0.tr;0;1
427.0;604400;data_0.tr;0;1
428.0;403640;data_0.tr;0;1
429.0;604720;data_0.tr;0;1
430.0;604800;data_0.tr;0;1
431.0;604360;data_0.tr;0;1
432.0;494200;data_0.tr;0;1
433.0;514040;data_0.tr;0;1
434.0;604600;data_0.tr;0;1
435.0;604600;data_0.tr;0;1
436.0;454200;data_0.tr;0;1
437.0;554200;data_0.tr;0;1
438.0;544160;data_0.tr;0;1
439.0;463840;data_0.tr;0;1
440.0;605040;data_0.tr;0;1
441.0;604600;data_0.tr;0;1
442.0;604360;data_0.tr;0;1
443.0;403760;data_0.tr;0;1
444.0;604640;data_0.tr;0;1
445.0;604880;data_0.tr;0;1
446.0;604480;data_0.tr;0;1
447.0;444000;data_0.tr;0;1
448.0;564000;data_0.tr;0;1
449.0;604840;data_0.tr;0;1
450.0;594560;data_0.tr;0;1
451.0;413800;data_0.tr;0;1
452.0;604840;data_0.tr;0;1
453.0;423480;data_0.tr;0;1
454.0;624880;data_0.tr;0;1
455.0;624880;data_0.tr;0;1
456.0;544160;data_0.tr;0;1
457.0;544160;data_0.tr;0;1
458.0;464160;data_0.tr;0;1
459.0;604880;data_0.tr;0;1
460.0;634920;data_0.tr;0;1
461.0;574320;data_0.tr;0;1
462.0;604720;data_0.tr;0;1
